id_produksi,tanggal,jam,id_mesin,nama_mesin,tipe_mesin,lokasi,id_operator,nama_operator,grup_shift,skill_level,id_material,jenis_bahan_baku,vendor_pemasok,setting_speed_rpm,suhu_mesin,output_qty_ok,reject_qty_ng
TRX-00079,2026-01-26,22:00,MSN-06,Stamping Press 06,Servo Press,Line 3,OP-004,Dewi Setiawan,B,1,MAT-05,Galvanized Steel,PT Gunung Garuda,1500,68.0,1231,47
TRX-00080,2026-01-27,14:30,MSN-02,Stamping Press 02,Mechanical Press,Line 1,OP-004,Dewi Setiawan,B,1,MAT-05,Galvanized Steel,PT Gunung Garuda,1200,87.3,1108,1
TRX-00081,2026-01-27,14:45,MSN-02,Stamping Press 02,Mechanical Press,Line 1,OP-015,Hadi Rahmawati,A,1,MAT-04,Aluminum Sheet,PT Inalum Sejahtera,1200,69.7,929,40
TRX-00082,2026-01-28,22:30,MSN-05,Stamping Press 05,Servo Press,Line 3,OP-010,Fitri Nugroho,B,5,MAT-04,Aluminum Sheet,PT Inalum Sejahtera,1200,63.4,1364,13
TRX-00083,2026-01-28,14:15,MSN-08,Stamping Press 08,Hydraulic Press,Line 2,OP-012,Wati Anggraini,A,2,MAT-01,Steel Coil,PT Krakatau Steel,1500,80.0,956,30
TRX-00084,2026-01-28,06:00,MSN-02,Stamping Press 02,Mechanical Press,Line 1,OP-006,Agus Saputra,A,5,MAT-02,Steel Coil,PT Krakatau Steel,1800,88.7,1486,22
TRX-00085,2026-01-28,23:45,MSN-01,Stamping Press 01,Mechanical Press,Line 1,OP-010,Fitri Nugroho,B,5,MAT-03,Aluminum Sheet,PT Inalum Sejahtera,1500,75.2,1293,6
TRX-00086,2026-01-29,8:00,MSN-04,Stamping Press 04,Hydraulic Press,Line 2,OP-014,Lestari Firmansyah,C,5,MAT-05,Galvanized Steel,PT Gunung Garuda,1800,75.8,1473,17
TRX-00087,2026-01-29,7:30,MSN-05,Stamping Press 05,Servo Press,Line 3,OP-006,Agus Saputra,A,5,MAT-01,Steel Coil,PT Krakatau Steel,1350,77.0,945,1
TRX-00088,2026-01-29,22:15,MSN-08,Stamping Press 08,Hydraulic Press,Line 2,OP-006,Agus Saputra,A,5,MAT-03,Aluminum Sheet,PT Inalum Sejahtera,1500,76.4,853,48
TRX-00089,2026-01-30,22:00,MSN-07,Stamping Press 07,Mechanical Press,Line 1,OP-008,Rina Gunawan,C,1,MAT-04,Aluminum Sheet,PT Inalum Sejahtera,1500,75.4,913,43
TRX-00090,2026-01-30,14:30,MSN-07,Stamping Press 07,Mechanical Press,Line 1,OP-001,Budi Santoso,B,1,MAT-01,Steel Coil,PT Krakatau Steel,1350,66.3,1061,7
TRX-00091,2026-01-30,14:45,MSN-07,Stamping Press 07,Mechanical Press,Line 1,OP-004,Dewi Setiawan,B,1,MAT-05,Galvanized Steel,PT Gunung Garuda,1800,74.6,843,29
TRX-00092,2026-01-30,23:30,MSN-07,Stamping Press 07,Mechanical Press,Line 1,OP-007,Hendra Hidayat,B,1,MAT-03,Aluminum Sheet,PT Inalum Sejahtera,1200,89.0,1432,44
TRX-00093,2026-01-31,14:00,MSN-07,Stamping Press 07,Mechanical Press,Line 1,OP-007,Hendra Hidayat,B,1,MAT-03,Aluminum Sheet,PT Inalum Sejahtera,1500,74.6,1448,32
TRX-00094,2026-01-31,23:30,MSN-03,Stamping Press 03,Hydraulic Press,Line 2,OP-003,Siti Pratama,A,2,MAT-03,Aluminum Sheet,PT Inalum Sejahtera,1350,64.6,877,49
TRX-00095,2026-01-31,14:45,MSN-08,Stamping Press 08,Hydraulic Press,Line 2,OP-015,Hadi Rahmawati,A,1,MAT-05,Galvanized Steel,PT Gunung Garuda,1800,89.1,1250,28
TRX-00096,2026-02-01,23:30,MSN-06,Stamping Press 06,Servo Press,Line 3,OP-005,Rudi Kurniawan,C,2,MAT-04,Aluminum Sheet,PT Inalum Sejahtera,1650,71.1,1460,54
TRX-00097,2026-02-01,15:45,MSN-01,Stamping Press 01,Mechanical Press,Line 1,OP-013,Joko Susanto,B,2,MAT-05,Galvanized Steel,PT Gunung Garuda,1350,74.3,863,51
TRX-00098,2026-02-01,22:00,MSN-03,Stamping Press 03,Hydraulic Press,Line 2,OP-012,Wati Anggraini,A,2,MAT-04,Aluminum Sheet,PT Inalum Sejahtera,1650,78.3,1089,49
TRX-00099,2026-02-01,22:00,MSN-06,Stamping Press 06,Servo Press,Line 3,OP-002,Andi Wijaya,C,3,MAT-05,Galvanized Steel,PT Gunung Garuda,1650,81.7,1417,21
TRX-00100,2026-02-02,22:15,MSN-05,Stamping Press 05,Servo Press,Line 3,OP-012,Wati Anggraini,A,2,MAT-04,Aluminum Sheet,PT Inalum Sejahtera,1350,88.1,1185,21
TRX-00101,2026-02-02,22:00,MSN-07,Stamping Press 07,Mechanical Press,Line 1,OP-001,Budi Santoso,B,1,MAT-03,Aluminum Sheet,PT Inalum Sejahtera,1500,66.4,1297,8
TRX-00102,2026-02-03,8:00,MSN-01,Stamping Press 01,Mechanical Press,Line 1,OP-015,Hadi Rahmawati,A,1,MAT-05,Galvanized Steel,PT Gunung Garuda,1350,64.6,1439,10
TRX-00103,2026-02-03,14:00,MSN-04,Stamping Press 04,Hydraulic Press,Line 2,OP-010,Fitri Nugroho,B,5,MAT-03,Aluminum Sheet,PT Inalum Sejahtera,1650,67.2,1280,12
TRX-00104,2026-02-04,15:45,MSN-05,Stamping Press 05,Servo Press,Line 3,OP-009,Yusuf Permadi,A,2,MAT-05,Galvanized Steel,PT Gunung Garuda,1650,84.5,941,3
TRX-00105,2026-02-04,14:30,MSN-02,Stamping Press 02,Mechanical Press,Line 1,OP-009,Yusuf Permadi,A,2,MAT-01,Steel Coil,PT Krakatau Steel,1500,64.8,1325,27
TRX-00106,2026-02-04,7:45,MSN-01,Stamping Press 01,Mechanical Press,Line 1,OP-007,Hendra Hidayat,B,1,MAT-05,Galvanized Steel,PT Gunung Garuda,1500,89.8,828,6
TRX-00107,2026-02-05,08:15,MSN-05,Stamping Press 05,Servo Press,Line 3,OP-008,Rina Gunawan,C,1,MAT-02,Steel Coil,PT Krakatau Steel,1650,78.2,1062,9
TRX-00108,2026-02-05,22:45,MSN-05,Stamping Press 05,Servo Press,Line 3,OP-002,Andi Wijaya,C,3,MAT-01,Steel Coil,PT Krakatau Steel,1350,83.8,913,31
TRX-00109,2026-02-05,15:00,MSN-04,Stamping Press 04,Hydraulic Press,Line 2,OP-005,Rudi Kurniawan,C,2,MAT-04,Aluminum Sheet,PT Inalum Sejahtera,1200,67.2,1480,33
TRX-00110,2026-02-05,06:00,MSN-08,Stamping Press 08,Hydraulic Press,Line 2,OP-007,Hendra Hidayat,B,1,MAT-03,Aluminum Sheet,PT Inalum Sejahtera,1500,76.4,1046,40
TRX-00111,2026-02-06,22:30,MSN-06,Stamping Press 06,Servo Press,Line 3,OP-014,Lestari Firmansyah,C,5,MAT-02,Steel Coil,PT Krakatau Steel,1650,74.4,938,49
TRX-00112,2026-02-06,06:30,MSN-04,Stamping Press 04,Hydraulic Press,Line 2,OP-006,Agus Saputra,A,5,MAT-03,Aluminum Sheet,PT Inalum Sejahtera,1800,84.5,837,12
TRX-00113,2026-02-07,23:00,MSN-06,Stamping Press 06,Servo Press,Line 3,OP-013,Joko Susanto,B,2,MAT-03,Aluminum Sheet,PT Inalum Sejahtera,1650,82.3,1195,11
TRX-00114,2026-02-07,22:45,MSN-05,Stamping Press 05,Servo Press,Line 3,OP-012,Wati Anggraini,A,2,MAT-04,Aluminum Sheet,PT Inalum Sejahtera,1200,89.9,1100,5
TRX-00115,2026-02-07,22:30,MSN-07,Stamping Press 07,Mechanical Press,Line 1,OP-008,Rina Gunawan,C,1,MAT-03,Aluminum Sheet,PT Inalum Sejahtera,1650,86.1,1245,50
TRX-00116,2026-02-08,22:45,MSN-03,Stamping Press 03,Hydraulic Press,Line 2,OP-003,Siti Pratama,A,2,MAT-05,Galvanized Steel,PT Gunung Garuda,1650,62.0,1175,60
TRX-00117,2026-02-08,6:15,MSN-06,Stamping Press 06,Servo Press,Line 3,OP-013,Joko Susanto,B,2,MAT-01,Steel Coil,PT Krakatau Steel,1800,71.0,1085,7
TRX-00118,2026-02-09,7:45,MSN-02,Stamping Press 02,Mechanical Press,Line 1,OP-005,Rudi Kurniawan,C,2,MAT-04,Aluminum Sheet,PT Inalum Sejahtera,1350,68.6,1302,8
TRX-00119,2026-02-09,14:15,MSN-08,Stamping Press 08,Hydraulic Press,Line 2,OP-013,Joko Susanto,B,2,MAT-03,Aluminum Sheet,PT Inalum Sejahtera,1500,76.5,1107,45
TRX-00120,2026-02-10,22:15,MSN-04,Stamping Press 04,Hydraulic Press,Line 2,OP-004,Dewi Setiawan,B,1,MAT-02,Steel Coil,PT Krakatau Steel,1350,60.8,1177,35
TRX-00121,2026-02-10,15:00,MSN-07,Stamping Press 07,Mechanical Press,Line 1,OP-012,Wati Anggraini,A,2,MAT-04,Aluminum Sheet,PT Inalum Sejahtera,1800,72.3,928,41
TRX-00122,2026-02-10,14:45,MSN-06,Stamping Press 06,Servo Press,Line 3,OP-014,Lestari Firmansyah,C,5,MAT-05,Galvanized Steel,PT Gunung Garuda,1800,89.0,856,33
TRX-00123,2026-02-10,08:15,MSN-04,Stamping Press 04,Hydraulic Press,Line 2,OP-009,Yusuf Permadi,A,2,MAT-03,Aluminum Sheet,PT Inalum Sejahtera,1200,79.1,928,39
TRX-00124,2026-02-11,15:15,MSN-03,Stamping Press 03,Hydraulic Press,Line 2,OP-010,Fitri Nugroho,B,5,MAT-05,Galvanized Steel,PT Gunung Garuda,1500,76.9,829,60
TRX-00125,2026-02-11,23:30,MSN-07,Stamping Press 07,Mechanical Press,Line 1,OP-001,Budi Santoso,B,1,MAT-04,Aluminum Sheet,PT Inalum Sejahtera,1800,88.7,1215,4
TRX-00126,2026-02-11,06:15,MSN-08,Stamping Press 08,Hydraulic Press,Line 2,OP-006,Agus Saputra,A,5,MAT-05,Galvanized Steel,PT Gunung Garuda,1350,81.6,1153,8
TRX-00127,2026-02-11,15:00,MSN-08,Stamping Press 08,Hydraulic Press,Line 2,OP-008,Rina Gunawan,C,1,MAT-02,Steel Coil,PT Krakatau Steel,1350,68.7,1430,55
TRX-00128,2026-02-12,15:30,MSN-03,Stamping Press 03,Hydraulic Press,Line 2,OP-009,Yusuf Permadi,A,2,MAT-04,Aluminum Sheet,PT Inalum Sejahtera,1650,74.9,1202,15
TRX-00129,2026-02-12,15:30,MSN-05,Stamping Press 05,Servo Press,Line 3,OP-015,Hadi Rahmawati,A,1,MAT-04,Aluminum Sheet,PT Inalum Sejahtera,1500,85.4,1070,48
TRX-00130,2026-02-13,06:45,MSN-04,Stamping Press 04,Hydraulic Press,Line 2,OP-005,Rudi Kurniawan,C,2,MAT-01,Steel Coil,PT Krakatau Steel,1650,82.9,1438,7
TRX-00131,2026-02-13,06:45,MSN-06,Stamping Press 06,Servo Press,Line 3,OP-006,Agus Saputra,A,5,MAT-02,Steel Coil,PT Krakatau Steel,1350,75.85,839,21
TRX-00132,2026-02-13,15:45,MSN-03,Stamping Press 03,Hydraulic Press,Line 2,OP-010,Fitri Nugroho,B,5,MAT-03,Aluminum Sheet,PT Inalum Sejahtera,1350,78.5,1407,53
TRX-00133,2026-02-14,14:30,MSN-01,Stamping Press 01,Mechanical Press,Line 1,OP-011,Bambang Wibowo,C,5,MAT-01,Steel Coil,PT Krakatau Steel,1650,83.9,1136,30
TRX-00134,2026-02-14,22:15,MSN-08,Stamping Press 08,Hydraulic Press,Line 2,OP-011,Bambang Wibowo,C,5,MAT-05,Galvanized Steel,PT Gunung Garuda,1650,76.4,912,28
